ID,Survived,Pclass,Sex,Age,Fare,Family
172,1,3,1,1,11.1333,2
173,0,3,0,21,7.925,0
174,0,1,0,56,30.6958,0
175,0,3,0,18,7.8542,2
177,0,1,1,50,28.7125,0
178,0,2,0,30,13,0
179,0,3,0,36,0,0
182,0,3,0,9,31.3875,6
183,1,2,0,1,39,3
184,1,3,1,4,22.025,2
187,1,1,0,45,26.55,0
188,0,3,0,40,15.5,2
189,0,3,0,36,7.8958,0
190,1,2,1,32,13,0
191,0,2,0,19,13,0
192,1,3,1,19,7.8542,1
193,1,2,0,3,26,2
194,1,1,1,44,27.7208,0
195,1,1,1,58,146.5208,0
197,0,3,0,42,8.4042,1
199,0,2,1,24,13,0
200,0,3,0,28,9.5,0
202,0,3,0,34,6.4958,0
203,0,3,0,45.5,7.225,0
204,1,3,0,18,8.05,0
205,0,3,1,2,10.4625,1
206,0,3,0,32,15.85,1
207,1,3,0,26,18.7875,0
208,1,3,1,16,7.75,0
209,1,1,0,40,31,0
210,0,3,0,24,7.05,0
211,1,2,1,35,21,0
212,0,3,0,22,7.25,0
213,0,2,0,30,13,0
215,1,1,1,31,113.275,1
216,1,3,1,27,7.925,0
217,0,2,0,42,27,1
218,1,1,1,32,76.2917,0
219,0,2,0,30,10.5,0
220,1,3,0,16,8.05,0
221,0,2,0,27,13,0
222,0,3,0,51,8.05,0
224,1,1,0,38,90,1
225,0,3,0,22,9.35,0
226,1,2,0,19,10.5,0
227,0,3,0,20.5,7.25,0
228,0,2,0,18,13,0
230,1,1,1,35,83.475,1
231,0,3,0,29,7.775,0
232,0,2,0,59,13.5,0
233,1,3,1,5,31.3875,6
234,0,2,0,24,10.5,0
236,0,2,0,44,26,1
237,1,2,1,8,26.25,2
238,0,2,0,19,10.5,0
239,0,2,0,33,12.275,0
242,0,2,0,29,10.5,0
243,0,3,0,22,7.125,0
244,0,3,0,30,7.225,0
245,0,1,0,44,90,2
246,0,3,1,25,7.775,0
247,1,2,1,24,14.5,2
248,1,1,0,37,52.5542,2
249,0,2,0,54,26,1
251,0,3,1,29,10.4625,2
252,0,1,0,62,26.55,0
253,0,3,0,30,16.1,1
254,0,3,1,41,20.2125,2
255,1,3,1,29,15.2458,2
257,1,1,1,30,86.5,0
258,1,1,1,35,512.3292,0
259,1,2,1,50,26,1
261,1,3,0,3,31.3875,6
262,0,1,0,52,79.65,2
263,0,1,0,40,0,0
265,0,2,0,36,10.5,0
266,0,3,0,16,39.6875,5
267,1,3,0,25,7.775,1
268,1,1,1,58,153.4625,1
269,1,1,1,35,135.6333,0
271,1,3,0,25,0,0
272,1,2,1,41,19.5,1
273,0,1,0,37,29.7,1
275,1,1,1,63,77.9583,1
276,0,3,1,45,7.75,0
278,0,3,0,7,29.125,5
279,1,3,1,35,20.25,2
280,0,3,0,65,7.75,0
281,0,3,0,28,7.8542,0
282,0,3,0,16,9.5,0
283,1,3,0,19,8.05,0
285,0,3,0,33,8.6625,0
286,1,3,0,30,9.5,0
287,0,3,0,22,7.8958,0
288,1,2,0,42,13,0
289,1,3,1,22,7.75,0
290,1,1,1,26,78.85,0
291,1,1,1,19,91.0792,1
292,0,2,0,36,12.875,0
293,0,3,1,24,8.85,0
294,0,3,0,24,7.8958,0
296,0,3,0,23.5,7.2292,0
297,0,1,1,2,151.55,3
299,1,1,1,50,247.5208,1
302,0,3,0,19,0,0
305,1,1,0,0.92,151.55,3
307,1,1,1,17,108.9,1
308,0,2,0,30,24,1
309,1,1,1,30,56.9292,0
310,1,1,1,24,83.1583,0
311,1,1,1,18,262.375,4
312,0,2,1,26,26,2
313,0,3,0,28,7.8958,0
314,0,2,0,43,26.25,2
315,1,3,1,26,7.8542,0
316,1,2,1,24,26,1
317,0,2,0,54,14,0
318,1,1,1,31,164.8667,2
319,1,1,1,40,134.5,2
320,0,3,0,22,7.25,0
321,0,3,0,27,7.8958,0
322,1,2,1,30,12.35,0
323,1,2,1,22,29,2
325,1,1,1,36,135.6333,0
326,0,3,0,61,6.2375,0
327,1,2,1,36,13,0
328,1,3,1,31,20.525,2
329,1,1,1,16,57.9792,1
331,0,1,0,45.5,28.5,0
332,0,1,0,38,153.4625,1
333,0,3,0,16,18,2
336,0,1,0,29,66.6,1
337,1,1,1,41,134.5,0
338,1,3,0,45,8.05,0
339,0,1,0,45,35.5,0
340,1,2,0,2,26,2
341,1,1,1,24,263,5
342,0,2,0,28,13,0
343,0,2,0,25,13,0
344,0,2,0,36,13,0
345,1,2,1,24,13,0
346,1,2,1,40,13,0
348,1,3,0,3,15.9,2
349,0,3,0,42,8.6625,0
350,0,3,0,23,9.225,0
352,0,3,0,15,7.2292,2
353,0,3,0,25,17.8,1
355,0,3,0,28,9.5,0
356,1,1,1,22,55,1
357,0,2,1,38,13,0
360,0,3,0,40,27.9,5
361,0,2,0,29,27.7208,1
362,0,3,1,45,14.4542,1
363,0,3,0,35,7.05,0
365,0,3,0,30,7.25,0
366,1,1,1,60,75.25,1
369,1,1,1,24,69.3,0
370,1,1,0,25,55.4417,1
371,0,3,0,18,6.4958,1
372,0,3,0,19,8.05,0
373,0,1,0,22,135.6333,0
374,0,3,1,3,21.075,4
376,1,3,1,22,7.25,0
377,0,1,0,27,211.5,2
378,0,3,0,20,4.0125,0
379,0,3,0,19,7.775,0
380,1,1,1,42,227.525,0
381,1,3,1,1,15.7417,2
382,0,3,0,32,7.925,0
383,1,1,1,35,52,1
385,0,2,0,18,73.5,0
386,0,3,0,1,46.9,7
387,1,2,1,36,13,0
389,1,2,1,17,12,0
390,1,1,0,36,120,3
391,1,3,0,21,7.7958,0
392,0,3,0,28,7.925,2
393,1,1,1,23,113.275,1
394,1,3,1,24,16.7,2
395,0,3,0,22,7.7958,0
396,0,3,1,31,7.8542,0
397,0,2,0,46,26,0
398,0,2,0,23,10.5,0
399,1,2,1,28,12.65,0
400,1,3,0,39,7.925,0
401,0,3,0,26,8.05,0
402,0,3,1,21,9.825,1
403,0,3,0,28,15.85,1
404,0,3,1,20,8.6625,0
405,0,2,0,34,21,1
406,0,3,0,51,7.75,0
407,1,2,0,3,18.75,2
408,0,3,0,21,7.775,0
412,1,1,1,33,90,1
414,1,3,0,44,7.925,0
416,1,2,1,34,32.5,2
417,1,2,1,18,13,2
418,0,2,0,30,13,0
419,0,3,1,10,24.15,2
421,0,3,0,21,7.7333,0
422,0,3,0,29,7.875,0
423,0,3,1,28,14.4,2
424,0,3,0,18,20.2125,2
426,1,2,1,28,26,1
427,1,2,1,19,26,0
429,1,3,0,32,8.05,0
430,1,1,0,28,26.55,0
432,1,2,1,42,26,1
433,0,3,0,17,7.125,0
434,0,1,0,50,55.9,1
435,1,1,1,14,120,3
436,0,3,1,21,34.375,4
437,1,2,1,24,18.75,5
438,0,1,0,64,263,5
439,0,2,0,31,10.5,0
440,1,2,1,45,26.25,2
441,0,3,0,20,9.5,0
442,0,3,0,25,7.775,1
443,1,2,1,28,13,0
445,1,1,0,4,81.8583,2
446,1,2,1,13,19.5,1
447,1,1,0,34,26.55,0
448,1,3,1,5,19.2583,3
449,1,1,0,52,30.5,0
450,0,2,0,36,27.75,3
452,0,1,0,30,27.75,0
453,1,1,0,49,89.1042,1
455,1,3,0,29,7.8958,0
456,0,1,0,65,26.55,0
458,1,2,1,50,10.5,0
460,1,1,0,48,26.55,0
461,0,3,0,34,8.05,0
462,0,1,0,47,38.5,0
463,0,2,0,48,13,0
465,0,3,0,38,7.05,0
467,0,1,0,56,26.55,0
469,1,3,1,0.75,19.2583,3
471,0,3,0,38,8.6625,0
472,1,2,1,33,27.75,3
473,1,2,1,23,13.7917,0
474,0,3,1,22,9.8375,0
476,0,2,0,34,21,1
477,0,3,0,29,7.0458,1
478,0,3,0,22,7.5208,0
479,1,3,1,2,12.2875,1
480,0,3,0,9,46.9,7
482,0,3,0,50,8.05,0
483,1,3,1,63,9.5875,0
484,1,1,0,25,91.0792,1
486,1,1,1,35,90,1
487,0,1,0,58,29.7,0
488,0,3,0,30,8.05,0
489,1,3,0,9,15.9,2
491,0,3,0,21,7.25,0
492,0,1,0,55,30.5,0
493,0,1,0,71,49.5042,0
494,0,3,0,21,8.05,0
496,1,1,1,54,78.2667,1
498,0,1,1,25,151.55,3
499,0,3,0,24,7.7958,0
500,0,3,0,17,8.6625,0
501,0,3,1,21,7.75,0
503,0,3,1,37,9.5875,0
504,1,1,1,16,86.5,0
505,0,1,0,18,108.9,1
506,1,2,1,33,26,2
508,0,3,0,28,22.525,0
509,1,3,0,26,56.4958,0
510,1,3,0,29,7.75,0
512,1,1,0,36,26.2875,0
513,1,1,1,54,59.4,1
514,0,3,0,24,7.4958,0
515,0,1,0,47,34.0208,0
516,1,2,1,34,10.5,0
518,1,2,1,36,26,1
519,0,3,0,32,7.8958,0
520,1,1,1,30,93.5,0
521,0,3,0,22,7.8958,0
523,1,1,1,44,57.9792,1
525,0,3,0,40.5,7.75,0
526,1,2,1,50,10.5,0
528,0,3,0,39,7.925,0
529,0,2,0,23,11.5,3
530,1,2,1,2,26,2
532,0,3,0,17,7.2292,2
534,0,3,1,30,8.6625,0
535,1,2,1,7,26.25,2
536,0,1,0,45,26.55,0
537,1,1,1,30,106.425,0
539,1,1,1,22,49.5,2
540,1,1,1,36,71,2
541,0,3,1,9,31.275,6
542,0,3,1,11,31.275,6
543,1,2,0,32,26,1
544,0,1,0,50,106.425,1
545,0,1,0,64,26,0
546,1,2,1,19,26,1
548,0,3,0,33,20.525,2
549,1,2,0,8,36.75,2
550,1,1,0,17,110.8833,2
551,0,2,0,27,26,0
553,1,3,0,22,7.225,0
554,1,3,1,22,7.775,0
555,0,1,0,62,26.55,0
556,1,1,1,48,39.6,1
558,1,1,1,39,79.65,2
559,1,3,1,36,17.4,1
561,0,3,0,40,7.8958,0
562,0,2,0,28,13.5,0
565,0,3,0,24,24.15,2
566,0,3,0,19,7.8958,0
567,0,3,1,29,21.075,4
569,1,3,0,32,7.8542,0
570,1,2,0,62,10.5,0
571,1,1,1,53,51.4792,2
572,1,1,0,36,26.3875,0
574,0,3,0,16,8.05,0
575,0,3,0,19,14.5,0
576,1,2,1,34,13,0
577,1,1,1,39,55.9,1
579,1,3,0,32,7.925,0
580,1,2,1,25,30,2
581,1,1,1,39,110.8833,2
582,0,2,0,54,26,0
583,0,1,0,36,40.125,0
585,1,1,1,18,79.65,2
586,0,2,0,47,15,0
587,1,1,0,60,79.2,2
588,0,3,0,22,8.05,0
590,0,3,0,35,7.125,0
591,1,1,1,52,78.2667,1
592,0,3,0,47,7.25,0
594,0,2,0,37,26,1
595,0,3,0,36,24.15,2
597,0,3,0,49,0,0
599,1,1,0,49,56.9292,1
600,1,2,1,24,27,3
603,0,3,0,44,8.05,0
604,1,1,0,35,26.55,0
605,0,3,0,36,15.55,1
606,0,3,0,30,7.8958,0
607,1,1,0,27,30.5,0
608,1,2,1,22,41.5792,3
609,1,1,1,40,153.4625,0
610,0,3,1,39,31.275,6
614,0,3,0,35,8.05,0
615,1,2,1,24,65,3
616,0,3,0,34,14.4,2
617,0,3,1,26,16.1,1
618,1,2,1,4,39,3
619,0,2,0,26,10.5,0
620,0,3,0,27,14.4542,1
621,1,1,0,42,52.5542,1
622,1,3,0,20,15.7417,2
623,0,3,0,21,7.8542,0
624,0,3,0,21,16.1,0
625,0,1,0,61,32.3208,0
626,0,2,0,57,12.35,0
627,1,1,1,21,77.9583,0
628,0,3,0,26,7.8958,0
630,1,1,0,80,30,0
631,0,3,0,51,7.0542,0
632,1,1,0,32,30.5,0
634,0,3,1,9,27.9,5
635,1,2,1,28,13,0
636,0,3,0,32,7.925,0
637,0,2,0,31,26.25,2
638,0,3,1,41,39.6875,5
640,0,3,0,20,7.8542,0
641,1,1,1,24,69.3,0
642,0,3,1,2,27.9,5
644,1,3,1,0.75,19.2583,3
645,1,1,0,48,76.7292,1
646,0,3,0,19,7.8958,0
647,1,1,0,56,35.5,0
649,1,3,1,23,7.55,0
651,1,2,1,18,23,1
652,0,3,0,21,8.4333,0
654,0,3,1,18,6.75,0
655,0,2,0,24,73.5,2
657,0,3,1,32,15.5,2
658,0,2,0,23,13,0
659,0,1,0,58,113.275,2
660,1,1,0,50,133.65,2
661,0,3,0,40,7.225,0
662,0,1,0,47,25.5875,0
663,0,3,0,36,7.4958,0
664,1,3,0,20,7.925,1
665,0,2,0,32,73.5,2
666,0,2,0,25,13,0
668,0,3,0,43,8.05,0
670,1,2,1,40,39,2
671,0,1,0,31,52,1
672,0,2,0,70,10.5,0
673,1,2,0,31,13,0
675,0,3,0,18,7.775,0
676,0,3,0,24.5,8.05,0
677,1,3,1,18,9.8417,0
678,0,3,1,43,46.9,7
679,1,1,0,36,512.3292,1
681,1,1,0,27,76.7292,0
682,0,3,0,20,9.225,0
683,0,3,0,14,46.9,7
684,0,2,0,60,39,2
685,0,2,0,25,41.5792,3
686,0,3,0,14,39.6875,5
687,0,3,0,19,10.1708,0
688,0,3,0,18,7.7958,0
689,1,1,1,15,211.3375,1
690,1,1,0,31,57,1
691,1,3,1,4,13.4167,1
693,0,3,0,25,7.225,0
694,0,1,0,60,26.55,0
695,0,2,0,52,13.5,0
696,0,3,0,44,8.05,0
698,0,1,0,49,110.8833,2
699,0,3,0,42,7.65,0
700,1,1,1,18,227.525,1
701,1,1,0,35,26.2875,0
702,0,3,1,18,14.4542,1
703,0,3,0,25,7.7417,0
704,0,3,0,26,7.8542,1
705,0,2,0,39,26,0
706,1,2,1,45,13.5,0
707,1,1,0,42,26.2875,0
708,1,1,1,22,151.55,0
710,1,1,1,24,49.5042,0
712,1,1,0,48,52,1
713,0,3,0,29,9.4833,0
714,0,2,0,52,13,0
715,0,3,0,19,7.65,0
716,1,1,1,38,227.525,0
717,1,2,1,27,10.5,0
719,0,3,0,33,7.775,0
720,1,2,1,6,33,1
721,0,3,0,17,7.0542,1
722,0,2,0,34,13,0
723,0,2,0,50,13,0
724,1,1,0,27,53.1,1
725,0,3,0,20,8.6625,0
726,1,2,1,30,21,3
728,0,2,0,25,26,1
729,0,3,1,25,7.925,1
730,1,1,1,29,211.3375,0
731,0,3,0,11,18.7875,0
733,0,2,0,23,13,0
734,0,2,0,23,13,0
735,0,3,0,28.5,16.1,0
736,0,3,1,48,34.375,4
737,1,1,0,35,512.3292,0
741,0,1,0,36,78.85,1
742,1,1,1,21,262.375,4
743,0,3,0,24,16.1,1
744,1,3,0,31,7.925,0
745,0,1,0,70,71,2
746,0,3,0,16,20.25,2
747,1,2,1,30,13,0
748,0,1,0,19,53.1,1
749,0,3,0,31,7.75,0
750,1,2,1,4,23,2
751,1,3,0,6,12.475,1
752,0,3,0,33,9.5,0
753,0,3,0,23,7.8958,0
754,1,2,1,48,65,3
755,1,2,0,0.67,14.5,2
756,0,3,0,28,7.7958,0
757,0,2,0,18,11.5,0
758,0,3,0,34,8.05,0
759,1,1,1,33,86.5,0
761,0,3,0,41,7.125,0
762,1,3,0,20,7.2292,0
763,1,1,1,36,120,3
764,0,3,0,16,7.775,0
765,1,1,1,51,77.9583,1
767,0,3,1,30.5,7.75,0
769,0,3,0,32,8.3625,0
770,0,3,0,24,9.5,0
771,0,3,0,48,7.8542,0
772,0,2,1,57,10.5,0
774,1,2,1,54,23,4
775,0,3,0,18,7.75,0
777,1,3,1,5,12.475,0
779,1,1,1,43,211.3375,1
780,1,3,1,13,7.2292,0
781,1,1,1,17,57,1
782,0,1,0,29,30,0
784,0,3,0,25,7.05,0
785,0,3,0,25,7.25,0
786,1,3,1,18,7.4958,0
787,0,3,0,8,29.125,5
788,1,3,0,1,20.575,3
789,0,1,0,46,79.2,0
791,0,2,0,16,26,0
794,0,3,0,25,7.8958,0
795,0,2,0,39,13,0
796,1,1,1,49,25.9292,0
797,1,3,1,31,8.6833,0
798,0,3,0,30,7.2292,0
799,0,3,1,30,24.15,2
800,0,2,0,34,13,0
801,1,2,1,31,26.25,2
802,1,1,0,11,120,3
803,1,3,0,0.42,8.5167,1
804,1,3,0,27,6.975,0
805,0,3,0,31,7.775,0
806,0,1,0,39,0,0
807,0,3,1,18,7.775,0
808,0,2,0,39,13,0
809,1,1,1,33,53.1,1
810,0,3,0,26,7.8875,0
811,0,3,0,39,24.15,0
812,0,2,0,35,10.5,0
813,0,3,1,6,31.275,6
814,0,3,0,30.5,8.05,0
816,0,3,1,23,7.925,0
817,0,2,0,31,37.0042,2
818,0,3,0,43,6.45,0
819,0,3,0,10,27.9,5
820,1,1,1,52,93.5,2
821,1,3,0,27,8.6625,0
822,0,1,0,38,0,0
823,1,3,1,27,12.475,1
824,0,3,0,2,39.6875,5
827,1,2,0,1,37.0042,2
829,1,1,1,62,80,0
830,1,3,1,15,14.4542,1
831,1,2,0,0.83,18.75,2
833,0,3,0,23,7.8542,0
834,0,3,0,18,8.3,0
835,1,1,1,39,83.1583,2
836,0,3,0,21,8.6625,0
838,1,3,0,32,56.4958,0
840,0,3,0,20,7.925,0
841,0,2,0,16,10.5,0
842,1,1,1,30,31,0
843,0,3,0,34.5,6.4375,0
844,0,3,0,17,8.6625,0
845,0,3,0,42,7.55,0
847,0,3,0,35,7.8958,0
848,0,2,0,28,33,1
850,0,3,0,4,31.275,6
851,0,3,0,74,7.775,0
852,0,3,1,9,15.2458,2
853,1,1,1,16,39.4,1
854,0,2,1,44,26,1
855,1,3,1,18,9.35,1
856,1,1,1,45,164.8667,2
857,1,1,0,51,26.55,0
858,1,3,1,24,19.2583,3
860,0,3,0,41,14.1083,2
861,0,2,0,21,11.5,1
862,1,1,1,48,25.9292,0
864,0,2,0,24,13,0
865,1,2,1,42,13,0
866,1,2,1,27,13.8583,1
867,0,1,0,31,50.4958,0
869,1,3,0,4,11.1333,2
870,0,3,0,26,7.8958,0
871,1,1,1,47,52.5542,2
872,0,1,0,33,5,0
873,0,3,0,47,9,0
874,1,2,1,28,24,1
875,1,3,1,15,7.225,0
876,0,3,0,20,9.8458,0
877,0,3,0,19,7.8958,0
879,1,1,1,56,83.1583,1
880,1,2,1,25,26,1
881,0,3,0,33,7.8958,0
882,0,3,1,22,10.5167,0
883,0,2,0,28,10.5,0
884,0,3,0,25,7.05,0
885,0,3,1,39,29.125,5
886,0,2,0,27,13,0
887,1,1,1,19,30,0
889,1,1,0,26,30,0
890,0,3,0,32,7.75,0
